isolabel_ext,synonym
CO-ANT-ElCarmenViboral,co-a-ecv
CO-ANT-ElCarmenViboral,co-5148
CO-ANT-ElCarmenViboral,co-a-elcarmenviboral
CO-ANT-ElCarmenViboral,co;antioquia;el.carmen.viboral
CO-ANT-ElPenol,co;ant;el.penol
CO-ANT-ElPenol,co-a-pen
CO-ANT-ElPenol,co;antioquia;el.penol
CO-ANT-ElPenol,co-5541
CO-ANT-ElPenol,co-a-elpenol
CO-ANT-ElRetiro,co-5607
CO-ANT-ElRetiro,co;antioquia;el.retiro
CO-ANT-ElRetiro,co-a-elretiro
CO-ANT-ElRetiro,co;ant;el.retiro
CO-ANT-ElRetiro,co-a-rtr
CO-ANT-ElRetiro,co-elretiro
CO-ANT-ElSantuario,co;ant;el.santuario
CO-ANT-ElSantuario,co-a-eso
CO-ANT-ElSantuario,co-elsantuario
CO-ANT-ElSantuario,co-a-elsantuario
CO-ANT-ElSantuario,co;antioquia;el.santuario
CO-ANT-ElSantuario,co-5697
CO-ANT-Entrerrios,co-entrerrios
CO-ANT-Entrerrios,co-5264
CO-ANT-Entrerrios,co-a-entrerrios
CO-ANT-Entrerrios,co;ant;entrerrios
CO-ANT-Entrerrios,co;antioquia;entrerrios
CO-ANT-Entrerrios,co-a-ets
CO-ANT-Envigado,co-5266
CO-ANT-Envigado,co;ant;envigado
CO-ANT-Envigado,co-a-envigado
CO-ANT-Envigado,co-a-eng
CO-ANT-Envigado,co-envigado
CO-ANT-Envigado,co;antioquia;envigado
CO-ANT-Fredonia,co-a-frn
CO-ANT-Fredonia,co-fredonia
CO-ANT-Fredonia,co-a-fredonia
CO-ANT-Fredonia,co;antioquia;fredonia
CO-ANT-Fredonia,co;ant;fredonia
CO-ANT-Fredonia,co-5282
CO-ANT-Frontino,co-a-frontino
CO-ANT-Frontino,co-frontino
CO-ANT-Frontino,co-5284
CO-ANT-Frontino,co;antioquia;frontino
CO-ANT-Frontino,co;ant;frontino
CO-ANT-Frontino,co-a-fro
CO-ANT-Giraldo,co-giraldo
CO-ANT-Giraldo,co-a-giraldo
CO-ANT-Giraldo,co-5306
CO-ANT-Giraldo,co-a-gro
CO-ANT-Giraldo,co;ant;giraldo
CO-ANT-Giraldo,co;antioquia;giraldo
CO-ANT-Girardota,co-a-gda
CO-ANT-Girardota,co;ant;girardota
CO-ANT-Girardota,co-a-girardota
CO-ANT-Girardota,co-5308
CO-ANT-Girardota,co-girardota
CO-ANT-Girardota,co;antioquia;girardota
CO-ANT-GomezPlata,co;antioquia;gomez.plata
CO-ANT-GomezPlata,co;ant;gomez.plata
CO-ANT-GomezPlata,co-gomezplata
CO-ANT-GomezPlata,co-a-gomezplata
CO-ANT-GomezPlata,co-5310
CO-ANT-GomezPlata,co-a-gpa
CO-ANT-Granada,co-5313
CO-ANT-Granada,co-a-gra
CO-ANT-Granada,co;ant;granada
CO-ANT-Granada,co-a-granada
CO-ANT-Granada,co;antioquia;granada
CO-ANT-Guadalupe,co-5315
CO-ANT-Guadalupe,co-a-gdl
CO-ANT-Guadalupe,co;antioquia;guadalupe
CO-ANT-Guadalupe,co;ant;guadalupe
CO-ANT-Guadalupe,co-a-guadalupe
CO-ANT-Guarne,co;antioquia;guarne
CO-ANT-Guarne,co-5318
CO-ANT-Guarne,co-a-guarne
CO-ANT-Guarne,co;ant;guarne
CO-ANT-Guarne,co-a-gar
CO-ANT-Guarne,co-guarne
CO-ANT-Guatape,co;ant;guatape
CO-ANT-Guatape,co;antioquia;guatape
CO-ANT-Guatape,co-a-guatape
CO-ANT-Guatape,co-guatape
CO-ANT-Guatape,co-5321
CO-ANT-Guatape,co-a-gte
CO-ANT-Heliconia,co-a-hcn
CO-ANT-Heliconia,co;antioquia;heliconia
CO-ANT-Heliconia,co-5347
CO-ANT-Heliconia,co-heliconia
CO-ANT-Heliconia,co-a-heliconia
CO-ANT-Heliconia,co;ant;heliconia
CO-ANT-Hispania,co;ant;hispania
CO-ANT-Hispania,co-a-hpa
CO-ANT-Hispania,co-5353
CO-ANT-Hispania,co;antioquia;hispania
CO-ANT-Hispania,co-hispania
CO-ANT-Hispania,co-a-hispania
CO-ANT-Itagui,co;antioquia;itagui
CO-ANT-Itagui,co-a-igi
CO-ANT-Itagui,co-itagui
