isolabel_ext,status,cover,overlay
CO-BOL-Clemencia,0,d22h d22m d22r d22v,
CO-BOL-Cordoba,0,d03v d06r d09m d09v d0ch d0cr,
CO-BOL-ElCarmenBolivar,0,d08h d08m d08r d08v d09h d09m d09r d09v d0ah d0am,
CO-BOL-ElGuamo,0,d0br d0bv d0eh d0er d21m d24h,
CO-BOL-ElPenon,0,cbbh cbbr cbbv d11h,
CO-BOL-HatilloLoba,0,d05m d10h d10m d11h,
CO-BOL-Magangue,0,caev cafr d01v d03m d03v d04h d04m d04r d04v d05h d06h d06m d06r d06v,
CO-BOL-Mahates,0,d0av d0br d20m d20v d21h d21r,
CO-BOL-Margarita,0,d05v d10h d10m d10r d10v,
CO-BOL-MariaBaja,0,d0ah d0am d0ar d0av d20h,
CO-BOL-Montecristo,0,c8q cag caq cbg,
CO-BOL-Morales,0,cb2h cb2m cb2r cb2v cb3h cb3m cb3r cb3v cb8m cb9h cb9m cb9r,
CO-BOL-Norosi,0,cb8h cb8m cb8r cb8v cb9r cbam,
CO-BOL-Pinillos,0,cafm cafr cafv cbah cbar d04m d05h d05m d05r d10h,
CO-BOL-Regidor,0,cb9v cbbh cbbm cbbr cbbv,
CO-BOL-RioViejo,0,ca7v cadm cb2r cb8h cb8m cb8r cb8v cb9h cb9m cb9r cb9v cbah cbam cbbh cbbm,
CO-BOL-SanCristobal,0,d21bk d21bp d21bs d21bt d21by d21bz d21ek d21es d21et d231j d231k d231n d231p,
CO-BOL-SanEstanislao,0,d20v d21r d22m d23h,
CO-BOL-SanFernando,0,d05h d05m d05r d05v d07m d10h d10r,
CO-BOL-SanJacinto,0,d08v d09r d09v d0am d0bh d0bm,
CO-BOL-SanJacintoCauca,0,ca6h ca6m ca6r ca6v ca7r cacm cadh,
CO-BOL-SanJuanNepomuceno,0,d0am d0av d0bh d0bm d0br d0bv d0eh d0er d21h d21m,
CO-BOL-SanMartinLoba,0,cbam cbav cbbh cbbr d10m d11h,
CO-BOL-SanPablo,0,c87v c8dm c8dv c8fm c92r c98h c98r c98v c99r c9ah c9am c9ar c9av c9bh c9bm c9br c9bv,
CO-BOL-SantaCatalina,0,d22m d22v d28m,
CO-BOL-SantaCruzMompox,0,d04m d04v d05h d05r d05v d06m d07h d07m,
CO-BOL-SantaRosaLima,0,d22h d22m d22r d22v,
CO-BOL-SantaRosaSur,0,c8q c9q cag cbg,
CO-BOL-Simiti,0,c9ah c9ar c9av c9br c9bv cb0h cb0m cb0v cb1h cb1m cb1r cb1v cb2m cb2v cb3h cb3r,
CO-BOL-Soplaviento,0,d21r d23h,
CO-BOL-TalaiguaNuevo,0,d04v d06m d06r d06v d07h,
CO-BOL-Tiquisio,0,ca7v cadh cadm cadv cafm cb8h cb8r cbah cbam,
CO-BOL-Turbaco,0,d20r d20v d22h d22m,
CO-BOL-Turbana,0,775m 775v d20h d20r,
CO-BOL-Villanueva,0,d20v d22m d23h,
CO-BOL-Zambrano,0,d09v d0bm d0ch d0cr d0eh,
CO-BOY-Almeida,0,c1cm c1cv c1dr,
CO-BOY-Aquitania,0,c4ah c4am c4ar c4av c60h c60m c60r c60v c61h c61r,
CO-BOY-Arcabuco,0,c36m c36v c37h,
CO-BOY-Belen,0,c62v c68h c68m c68v c69h,
CO-BOY-Berbeo,0,c1fm c1fv c4ah c4ar,
CO-BOY-Beteitiva,0,c62v c63r c68m c69h,
CO-BOY-Boavita,0,c69v c6bh c6bm c6br c6bv,
CO-BOY-Boyaca,0,c345s c345t c345y c345z c347n c347p c350s c350t c350y c352j c352k c352n c352p c352s c352z,
CO-BOY-Briceno,0,c31ay c31az c31bs c31bt c31by c330j c330k c330n c330p c330s c330z c331j c331k c331n c331s c331t,
CO-BOY-Buenavista,0,c30m c30v c31h c31r,
CO-BOY-Busbanza,0,c62cn c62cp c62cy c62cz c62dj c62dk c62ds c62dt c62en c62fj,
CO-BOY-Caldas,0,c318y c318z c319j c319k c319p c319s c319t c319y c319z c31an c31bj c31bk c31bn c31bp c31bs c31bt c31by c31bz,
CO-BOY-Campohermoso,0,c1dm c1dv c1fh c1fm c48r c4ah,
CO-BOY-Cerinza,0,c62bt c62by c62bz c62es c62et c681j c681k c681n c681p c681s c681y c681z c684j c684k c684s,
CO-BOY-Chinavita,0,c1ev c1fh c1fr,
CO-BOY-Chiquinquira,0,c31r c31v c33h c33m c34r,
CO-BOY-Chiquiza,0,c34v c35r c36m c37h,
